,x,y,hour,yday
216,28458.697186066198,-1435899.306111221,0,259
217,28499.07318796896,-1435906.1354079857,1,259
218,28519.602384380312,-1435831.4001027164,2,259
219,28583.53185142891,-1435825.4054616394,3,259
220,28561.910619789593,-1435882.1737687816,4,259
221,28658.560284841857,-1435892.6338717488,5,259
222,28659.888819426185,-1435894.6881551149,6,259
223,28699.38351710382,-1435878.609205734,7,259
224,28732.89818819096,-1435884.4293619199,8,259
225,28714.68029445074,-1435899.3426518517,9,259
226,28713.640850015425,-1435914.8181511222,10,259
227,28632.935214936995,-1436017.3275483774,11,259
228,28600.409233042763,-1436213.4133926374,12,259
229,28380.24191080309,-1435997.3630199642,13,259
230,28532.047836551294,-1435806.7484295778,14,259
231,28540.207612467195,-1435818.8946565392,15,259
232,28444.01472685943,-1435632.9171954223,16,259
233,28462.326459915865,-1435646.0798293818,17,259
234,28625.79859749511,-1435683.589530181,18,259
235,28652.338755201545,-1435699.6693119726,19,259
236,28683.29945893985,-1435748.1949351127,20,259
237,28624.051763876792,-1435791.0611801082,21,259
238,28483.810869539724,-1435692.8803055834,22,259
239,28460.492283103973,-1435720.4525777914,23,259
240,28438.364472071393,-1435742.1514405813,0,260
241,28433.024895972903,-1435880.5744413945,1,260
242,28470.25078355454,-1435934.9628049831,2,260
243,28462.662003843856,-1435937.1933448412,3,260
244,28316.613069820156,-1435908.6450962666,4,260
245,28342.22382310778,-1436006.1589202632,5,260
246,28331.44758822383,-1435626.9785986878,6,260
247,28333.5803738256,-1435613.6182147611,7,260
248,28291.783824976577,-1435717.1960139426,8,260
249,28304.718931525334,-1435741.4766073695,9,260
250,28399.163532382227,-1435851.6602750518,10,260
251,28392.100102910026,-1435841.2505805697,11,260
252,28276.2797604714,-1435934.6568420937,12,260
253,28246.802576741593,-1435942.9897218074,13,260
254,28279.914866285002,-1435948.5122135654,14,260
255,28253.00806190353,-1435977.1199098984,15,260
256,28230.39412921195,-1435985.7850380517,16,260
257,28347.86426524142,-1436077.6785207526,17,260
258,28371.152375663303,-1436111.3043015313,18,260
259,28452.375671077963,-1436175.1402395158,19,260
260,28710.607034077068,-1436020.3479854164,20,260
261,28670.945845101076,-1436052.6934665085,21,260
262,28689.210849896557,-1436120.283532848,22,260
263,28550.351196707783,-1436183.6089159553,23,260
264,28562.372559897587,-1436229.1813390441,0,261
265,28617.28999629247,-1436255.2996813406,1,261
266,28672.817536969054,-1436320.1968326545,2,261
267,28717.38655213169,-1436355.7309776265,3,261
268,28741.004377413148,-1436339.487552696,4,261
269,28791.044822778495,-1436433.9292935582,5,261
270,28823.057120225498,-1436454.9150980646,6,261
271,28828.962417800994,-1436439.5640917812,7,261
272,28829.62386690758,-1436449.0577247385,8,261
273,28820.173377398616,-1436526.0766804614,9,261
274,28797.496644562714,-1436524.6975523678,10,261
275,28929.608524545227,-1436796.2152166788,11,261
276,28686.676300856438,-1436950.926146442,12,261
277,28585.69211781286,-1437000.8069374333,13,261
278,28373.42694140474,-1436976.1525776566,14,261
279,28385.656375128707,-1437188.8259240624,15,261
280,28454.469317438838,-1437167.838268874,16,261
281,28533.15610216376,-1437206.7894524785,17,261
282,28520.426934130686,-1437191.1969377126,18,261
283,28545.92659392197,-1437172.4799992654,19,261
284,28533.205228939958,-1437867.2675419603,20,261
285,28557.299280052455,-1438065.4629898474,21,261
286,28604.98923748971,-1438072.4550610743,22,261
287,28695.053404224982,-1438026.9904865131,23,261
288,28657.593729762084,-1438045.415642917,0,262
289,28664.052331781535,-1438068.2169105448,1,262
290,28703.158726514153,-1438078.6952061956,2,262
291,28699.658161547995,-1438090.2797608534,3,262
292,28702.34010425304,-1438123.5693109988,4,262
293,28689.4440084874,-1438113.1928436437,5,262
294,28868.850756395026,-1438226.259935507,6,262
295,28815.72896868333,-1438249.5720479388,7,262
296,28883.403759824065,-1438272.9924982258,8,262
297,28875.964959923847,-1438382.601574399,9,262
298,28904.14175261888,-1438365.071387748,10,262
299,28890.604059134253,-1438410.6523590076,11,262
300,28930.4701160437,-1438396.9784101273,12,262
301,28734.016666486612,-1438413.2533191694,13,262
302,28825.555211610113,-1438464.0435199908,14,262
303,28763.070880126965,-1438483.5977420202,15,262
304,28857.16611019872,-1438500.8582822913,16,262
305,28839.5728968069,-1438503.0511286957,17,262
306,28808.826906244325,-1438493.7216861842,18,262
307,28806.256273461266,-1438509.1383506581,19,262
308,28810.267838689688,-1438506.8991642362,20,262
309,28799.340351283085,-1438495.3624175433,21,262
310,28748.862197124843,-1438580.3100011281,22,262
311,28754.231519709167,-1438600.4130095663,23,262
312,28567.05763380208,-1438571.5551939849,0,263
313,28612.19005389178,-1438564.4835556732,1,263
314,28549.716874513528,-1438581.0966240268,2,263
315,28544.988808261012,-1438631.1216595965,3,263
316,28692.275802760858,-1438746.535232344,4,263
317,28704.85028715402,-1438755.6982398573,5,263
318,28742.14529136835,-1438710.7518019378,6,263
319,28966.129817878853,-1438681.3506281641,7,263
320,28967.695469813814,-1438694.0479834424,8,263
321,28969.750082305687,-1438737.1433546876,9,263
322,28972.933605645605,-1438713.5040116648,10,263
323,28965.887104347894,-1438738.2768888206,11,263
324,28925.66252485897,-1438721.8918875726,12,263
325,28923.773882488313,-1438741.1631910692,13,263
326,28927.35727693758,-1438769.844301538,14,263
327,28949.550487687273,-1438805.1463536008,15,263
